0x00,HOPOPT
0x01,ICMP
0x02,IGMP
0x03,GGP
0x04,IPv4
0x05,ST
0x06,TCP
0x07,CBT
0x08,EGP
0x09,IGP
0x0a,BBN-RCC-MON
0x0b,NVP-II
0x0c,PUP
0x0d,ARGUS
0x0e,EMCON
0x0f,XNET
0x10,CHAOS
0x11,UDP
0x12,MUX
0x13,DCN-MEAS
0x14,HMP
0x15,PRM
0x16,XNS-IDP
0x17,TRUNK-1
0x18,TRUNK-2
0x19,LEAF-1
0x1a,LEAF-2
0x1b,RDP
0x1c,IRTP
0x1d,ISO-TP4
0x1e,NETBLT
0x1f,MFE-NSP
0x20,MERIT-INP
0x21,DCCP
0x22,3PC
0x23,IDPR
0x24,XTP
0x25,DDP
0x26,IDPR-CMTP
0x27,TP++
0x28,IL
0x29,IPv6
0x2a,SDRP
0x2b,IPv6-Route
0x2c,IPv6-Frag
0x2d,IDRP
0x2e,RSVP
0x2f,GRE
0x30,DSR
0x31,BNA
0x32,ESP
0x33,AH
0x34,I-NLSP
0x35,SWIPE
0x36,NARP
0x37,MOBILE
0x38,TLSP
0x39,SKIP
0x3a,IPv6-ICMP
0x3b,IPv6-NoNxt
0x3c,IPv6-Opts
0x3d,[HostInternal]
0x3e,CFTP
0x3f,[LocalNetwork]
0x40,SAT-EXPAK
0x41,KRYPTOLAN
0x42,RVD
0x43,IPPC
0x44,[DFS]
0x45,SAT-MON
0x46,VISA
0x47,IPCV
0x48,CPNX
0x49,CPHB
0x4a,WSN
0x4b,PVP
0x4c,BR-SAT-MON
0x4d,SUN-ND
0x4e,WB-MON
0x4f,WB-EXPAK
0x50,ISO-IP
0x51,VMTP
0x52,SECURE-VMTP
0x53,VINES
0x54,TTP
0x54,IPTM
0x55,NSFNET-IGP
0x56,DGP
0x57,TCF
0x58,EIGRP
0x59,OSPFIGP
0x5a,Sprite-RPC
0x5b,LARP
0x5c,MTP
0x5d,AX.25
0x5e,IPIP
0x5f,MICP
0x60,SCC-SP
0x61,ETHERIP
0x62,ENCAP
0x63,[PrivateEncry]
0x64,GMTP
0x65,IFMP
0x66,PNNI
0x67,PIM
0x68,ARIS
0x69,SCPS
0x6a,QNX
0x6b,A/N
0x6c,IPComp
0x6d,SNP
0x6e,Compaq-Peer
0x6f,IPX-in-IP
0x70,VRRP
0x71,PGM
0x72,[0-hop]
0x73,L2TP
0x74,DDX
0x75,IATP
0x76,STP
0x77,SRP
0x78,UTI
0x79,SMP
0x7a,SM
0x7b,PTP
0x7c,ISIS-over-IPv4
0x7d,FIRE
0x7e,CRTP
0x7f,CRUDP
0x80,SSCOPMCE
0x81,IPLT
0x82,SPS
0x83,PIPE
0x84,SCTP
0x85,FC
0x86,RSVP-E2E-IGNORE
0x87,Mobility-Header
0x88,UDPLite
0x89,MPLS-in-IP
0x8a,manet
0x8b,HIP
0x8c,Shim6
0x8d,WESP
0x8e,ROHC
0x8f-0xfc,[Unassigned]
0xfd,[Experimental]
0xfe,[Experimental]
0xff,[Reserved]
