0x00000001,LINKTYPE_ETHERNET
0x00000003,LINKTYPE_AX25
0x00000006,LINKTYPE_IEEE802_5
0x00000007,LINKTYPE_ARCNET_BSD
0x00000008,LINKTYPE_SLIP
0x00000009,LINKTYPE_PPP
0x0000000a,LINKTYPE_FDDI
0x00000032,LINKTYPE_PPP_HDLC
0x00000033,LINKTYPE_PPP_ETHER
0x00000064,LINKTYPE_ATM_RFC1483
0x00000065,LINKTYPE_RAW
0x00000068,LINKTYPE_C_HDLC
0x00000069,LINKTYPE_IEEE802_11
0x0000006b,LINKTYPE_FRELAY
0x0000006c,LINKTYPE_LOOP
0x00000071,LINKTYPE_LINUX_SLL
0x00000072,LINKTYPE_LTALK
0x00000075,LINKTYPE_PFLOG
0x00000077,LINKTYPE_IEEE802_11_PRISM
0x0000007a,LINKTYPE_IP_OVER_FC
0x0000007b,LINKTYPE_SUNATM
0x0000007f,LINKTYPE_IEEE802_11_RADIOTAP
0x00000081,LINKTYPE_ARCNET_LINUX
0x0000008a,LINKTYPE_APPLE_IP_OVER_IEEE1394
0x0000008b,LINKTYPE_MTP2_WITH_PHDR
0x0000008c,LINKTYPE_MTP2
0x0000008d,LINKTYPE_MTP3
0x0000008e,LINKTYPE_SCCP
0x0000008f,LINKTYPE_DOCSIS
0x00000090,LINKTYPE_LINUX_IRDA
